,Unnamed: 0,optimizer,mapping,ansatz,rotation blocks,entanglement_blocks,entanglement,repetitions,skip_final_rotation_layer,energy (Ha),error (mHa),# of parameters,final parameters,# of evaluations,# of qubits,# of CNOTs
0,0.0,L_BFGS_B,JordanWignerMapper,UCCSD,,,,,,-1.6970070288527586,1.4122036873231989e-10,3,[2.28010810e-07 1.00749058e-07 3.22965959e-02],28,4,56
0,,L_BFGS_B,JordanWignerMapper,UCCSD,,,,,,-1.6970070288527745,1.1723955140041653e-10,3,[2.40358258e-07 2.16360366e-07 3.22966509e-02],28,4,56
